Season,Episode,Part,Length,Date,Doc1,Doc2,Doc3,Doc4,Doc5,Doc6,Doc7,Doc8,Doc9,Doc10,Doc11,Doc12,Doc13,Title,Title (temp),,
3,95,5,25,1965-12-11,y,0,0,0,0,0,0,0,0,0,0,0,0,'The Daleks'' Master Plan',0,,
3,96,6,25,1965-12-18,y,0,0,0,0,0,0,0,0,0,0,0,0,'The Daleks'' Master Plan',0,,
3,97,7,25,1965-12-25,y,0,0,0,0,0,0,0,0,0,0,0,0,'The Daleks'' Master Plan',0,,
3,98,8,25,1966-01-01,y,0,0,0,0,0,0,0,0,0,0,0,0,'The Daleks'' Master Plan',0,,
3,99,9,25,1966-01-08,y,0,0,0,0,0,0,0,0,0,0,0,0,'The Daleks'' Master Plan',0,,
3,100,10,25,1966-01-15,y,0,0,0,0,0,0,0,0,0,0,0,0,'The Daleks'' Master Plan',0,,
3,101,11,25,1966-01-22,y,0,0,0,0,0,0,0,0,0,0,0,0,'The Daleks'' Master Plan',0,,
3,102,12,25,1966-01-29,y,0,0,0,0,0,0,0,0,0,0,0,0,'The Daleks'' Master Plan',0,,
3,103,1,25,1966-02-05,y,0,0,0,0,0,0,0,0,0,0,0,0,'The Massacre Of St Bartholomew''s Eve','The Massacre Of St Bartholomew''s Eve',,
3,104,2,25,1966-02-12,y,0,0,0,0,0,0,0,0,0,0,0,0,'The Massacre Of St Bartholomew''s Eve',0,,
3,105,3,25,1966-02-19,y,0,0,0,0,0,0,0,0,0,0,0,0,'The Massacre Of St Bartholomew''s Eve',0,,
3,106,4,25,1966-02-26,y,0,0,0,0,0,0,0,0,0,0,0,0,'The Massacre Of St Bartholomew''s Eve',0,,
3,107,1,25,1966-03-05,y,0,0,0,0,0,0,0,0,0,0,0,0,The Ark,The Ark,,
3,108,2,25,1966-03-12,y,0,0,0,0,0,0,0,0,0,0,0,0,The Ark,0,,
3,109,3,25,1966-03-19,y,0,0,0,0,0,0,0,0,0,0,0,0,The Ark,0,,
3,110,4,25,1966-03-26,y,0,0,0,0,0,0,0,0,0,0,0,0,The Ark,0,,
3,111,1,25,1966-04-02,y,0,0,0,0,0,0,0,0,0,0,0,0,The Celestial Toymaker,The Celestial Toymaker,,
3,112,2,25,1966-04-09,y,0,0,0,0,0,0,0,0,0,0,0,0,The Celestial Toymaker,0,,
3,113,3,25,1966-04-16,y,0,0,0,0,0,0,0,0,0,0,0,0,The Celestial Toymaker,0,,
3,114,4,25,1966-04-23,y,0,0,0,0,0,0,0,0,0,0,0,0,The Celestial Toymaker,0,,
3,115,1,25,1966-04-30,y,0,0,0,0,0,0,0,0,0,0,0,0,The Gunfighters,The Gunfighters,,
3,116,2,25,1966-05-07,y,0,0,0,0,0,0,0,0,0,0,0,0,The Gunfighters,0,,
3,117,3,25,1966-05-14,y,0,0,0,0,0,0,0,0,0,0,0,0,The Gunfighters,0,,
3,118,4,25,1966-05-21,y,0,0,0,0,0,0,0,0,0,0,0,0,The Gunfighters,0,,
3,119,1,25,1966-05-28,y,0,0,0,0,0,0,0,0,0,0,0,0,The Savages,The Savages,,
3,120,2,25,1966-06-04,y,0,0,0,0,0,0,0,0,0,0,0,0,The Savages,0,,
3,121,3,25,1966-06-11,y,0,0,0,0,0,0,0,0,0,0,0,0,The Savages,0,,
3,122,4,25,1966-06-18,y,0,0,0,0,0,0,0,0,0,0,0,0,The Savages,0,,
3,123,1,25,1966-06-25,y,0,0,0,0,0,0,0,0,0,0,0,0,The War Machines ,The War Machines ,,
3,124,2,25,1966-07-02,y,0,0,0,0,0,0,0,0,0,0,0,0,The War Machines ,0,,
3,125,3,25,1966-07-09,y,0,0,0,0,0,0,0,0,0,0,0,0,The War Machines ,0,,
3,126,4,25,1966-07-16,y,0,0,0,0,0,0,0,0,0,0,0,0,The War Machines ,0,,
4,127,1,25,1966-09-10,y,0,0,0,0,0,0,0,0,0,0,0,0,The Smugglers,The Smugglers,,
4,128,2,25,1966-09-17,y,0,0,0,0,0,0,0,0,0,0,0,0,The Smugglers,0,,
4,129,3,25,1966-09-24,y,0,0,0,0,0,0,0,0,0,0,0,0,The Smugglers,0,,
4,130,4,25,1966-10-01,y,0,0,0,0,0,0,0,0,0,0,0,0,The Smugglers,0,,
4,131,1,25,1966-10-08,y,0,0,0,0,0,0,0,0,0,0,0,0,The Tenth Planet,The Tenth Planet,,
4,132,2,25,1966-10-15,y,0,0,0,0,0,0,0,0,0,0,0,0,The Tenth Planet,0,,
4,133,3,25,1966-10-22,y,0,0,0,0,0,0,0,0,0,0,0,0,The Tenth Planet,0,,
4,134,4,25,1966-10-29,y,y,0,0,0,0,0,0,0,0,0,0,0,The Tenth Planet,0,,
4,135,1,25,1966-11-05,0,y,0,0,0,0,0,0,0,0,0,0,0,The Power of the Daleks,The Power of the Daleks,,
4,136,2,25,1966-11-12,0,y,0,0,0,0,0,0,0,0,0,0,0,The Power of the Daleks,0,,
4,137,3,25,1966-11-19,0,y,0,0,0,0,0,0,0,0,0,0,0,The Power of the Daleks,0,,
4,138,4,25,1966-11-26,0,y,0,0,0,0,0,0,0,0,0,0,0,The Power of the Daleks,0,,
4,139,5,25,1966-12-03,0,y,0,0,0,0,0,0,0,0,0,0,0,The Power of the Daleks,0,,
4,140,6,25,1966-12-10,0,y,0,0,0,0,0,0,0,0,0,0,0,The Power of the Daleks,0,,
